"","id","pop"
"787","HG01672","IBS"
"788","HG01673","IBS"
"789","HG01674","IBS"
"790","HG01675","IBS"
"791","HG01676","IBS"
"792","HG01677","IBS"
"793","HG01678","IBS"
"794","HG01679","IBS"
"795","HG01680","IBS"
"796","HG01681","IBS"
"797","HG01682","IBS"
"798","HG01683","IBS"
"799","HG01684","IBS"
"800","HG01685","IBS"
"801","HG01686","IBS"
"802","HG01687","IBS"
"803","HG01694","IBS"
"804","HG01695","IBS"
"805","HG01696","IBS"
"806","HG01697","IBS"
"807","HG01698","IBS"
"808","HG01699","IBS"
"809","HG01700","IBS"
"810","HG01701","IBS"
"811","HG01702","IBS"
"812","HG01703","IBS"
"813","HG01704","IBS"
"814","HG01705","IBS"
"815","HG01706","IBS"
"816","HG01707","IBS"
"817","HG01708","IBS"
"818","HG01709","IBS"
"819","HG01710","IBS"
"820","HG01711","IBS"
"821","HG01746","IBS"
"822","HG01747","IBS"
"823","HG01748","IBS"
"824","HG01755","IBS"
"825","HG01756","IBS"
"826","HG01757","IBS"
"827","HG01761","IBS"
"828","HG01762","IBS"
"829","HG01763","IBS"
"830","HG01764","IBS"
"831","HG01765","IBS"
"832","HG01766","IBS"
"833","HG01767","IBS"
"834","HG01768","IBS"
"835","HG01769","IBS"
"836","HG01770","IBS"
"837","HG01771","IBS"
"838","HG01772","IBS"
"839","HG01773","IBS"
"840","HG01774","IBS"
"841","HG01775","IBS"
"842","HG01776","IBS"
"843","HG01777","IBS"
"844","HG01778","IBS"
"845","HG01779","IBS"
"846","HG01780","IBS"
"847","HG01781","IBS"
"848","HG01782","IBS"
"849","HG01783","IBS,MSL"
"850","HG01784","IBS"
"851","HG01785","IBS"
"852","HG01786","IBS"
"853","HG01787","IBS"
"854","HG01789","GBR"
"855","HG01790","GBR"
"856","HG01791","GBR"
"857","HG01794","CDX"
"858","HG01795","CDX"
"859","HG01796","CDX"
"860","HG01797","CDX"
"861","HG01798","CDX"
"862","HG01799","CDX"
"863","HG01800","CDX"
"864","HG01801","CDX"
"865","HG01802","CDX"
"866","HG01804","CDX"
"867","HG01805","CDX"
"868","HG01806","CDX"
"869","HG01807","CDX"
"870","HG01808","CDX"
"871","HG01809","CDX"
"872","HG01810","CDX"
"873","HG01811","CDX"
"874","HG01812","CDX"
"875","HG01813","CDX"
"876","HG01815","CDX"
"877","HG01816","CDX"
"878","HG01817","CDX"
"879","HG01840","KHV"
"880","HG01841","KHV"
"881","HG01842","KHV"
"882","HG01843","KHV"
"883","HG01844","KHV"
"884","HG01845","KHV"
"885","HG01846","KHV"
"886","HG01847","KHV"
"887","HG01848","KHV"
"888","HG01849","KHV"
"889","HG01850","KHV"
"890","HG01851","KHV"
"891","HG01852","KHV"
"892","HG01853","KHV"
"893","HG01855","KHV"
